time,Dis Y(Dv),Dis Y Old(Dv),difference Dis Y,Dis X(Dh),loadcell Y (KN),loadcell X (KN),sigma Y (KN/M^2),newsigma Y (KN/M^2),round data
2025-02-20 12:33:21 , -0.021 , -0.021 , 0.0 , 0.065  , 85.75 , 72.139 , 85.75 , 85.75 ,48
2025-02-20 12:33:21 , -0.021 , -0.021 , 0.0 , 0.066  , 85.75 , 72.139 , 85.75 , 85.75 ,49
2025-02-20 12:33:24 , -0.02 , -0.021 , 0.001 , 0.07  , 85.75 , 72.139 , 85.75 , 86.036 ,50
2025-02-20 12:33:25 , -0.02 , -0.02 , 0.0 , 0.071  , 85.75 , 72.139 , 85.75 , 85.75 ,51
2025-02-20 12:33:28 , -0.021 , -0.02 , -0.001 , 0.073  , 85.75 , 72.139 , 85.75 , 85.464 ,52
2025-02-20 12:33:28 , -0.021 , -0.021 , 0.0 , 0.074  , 85.75 , 72.139 , 85.75 , 85.75 ,53
2025-02-20 12:33:31 , -0.021 , -0.021 , 0.0 , 0.076  , 85.75 , 72.139 , 85.75 , 85.75 ,54
2025-02-20 12:33:32 , -0.021 , -0.021 , 0.0 , 0.077  , 85.75 , 72.139 , 85.75 , 85.75 ,55
2025-02-20 12:33:35 , -0.02 , -0.021 , 0.001 , 0.08  , 85.75 , 72.139 , 85.75 , 86.036 ,56
2025-02-20 12:33:35 , -0.02 , -0.02 , 0.0 , 0.081  , 85.75 , 72.139 , 85.75 , 85.75 ,57
2025-02-20 12:33:38 , -0.022 , -0.02 , -0.002 , 0.083  , 85.75 , 72.139 , 85.75 , 85.178 ,58
2025-02-20 12:33:39 , -0.021 , -0.022 , 0.001 , 0.084  , 85.75 , 72.139 , 85.75 , 86.036 ,59
2025-02-20 12:33:42 , -0.021 , -0.021 , 0.0 , 0.087  , 85.75 , 73.5 , 85.75 , 85.75 ,60
2025-02-20 12:33:42 , -0.02 , -0.021 , 0.001 , 0.088  , 85.75 , 73.5 , 85.75 , 86.036 ,61
2025-02-20 12:33:45 , -0.021 , -0.02 , -0.001 , 0.092  , 85.75 , 73.5 , 85.75 , 85.464 ,62
2025-02-20 12:33:46 , -0.021 , -0.021 , 0.0 , 0.092  , 85.75 , 73.5 , 85.75 , 85.75 ,63
2025-02-20 12:33:49 , -0.021 , -0.021 , 0.0 , 0.096  , 85.75 , 73.5 , 85.75 , 85.75 ,64
2025-02-20 12:33:49 , -0.022 , -0.021 , -0.001 , 0.097  , 85.75 , 73.5 , 85.75 , 85.464 ,65
2025-02-20 12:33:52 , -0.021 , -0.022 , 0.001 , 0.1  , 86.022 , 73.5 , 86.022 , 86.308 ,66
2025-02-20 12:33:53 , -0.021 , -0.021 , 0.0 , 0.1  , 86.022 , 73.5 , 86.022 , 86.022 ,67
2025-02-20 12:33:56 , -0.022 , -0.021 , -0.001 , 0.102  , 86.022 , 73.5 , 86.022 , 85.736 ,68
2025-02-20 12:33:56 , -0.022 , -0.022 , 0.0 , 0.102  , 86.022 , 73.5 , 86.022 , 86.022 ,69
2025-02-20 12:33:59 , -0.022 , -0.022 , 0.0 , 0.104  , 85.75 , 73.5 , 85.75 , 85.75 ,70
2025-02-20 12:34:00 , -0.022 , -0.022 , 0.0 , 0.104  , 85.75 , 73.5 , 85.75 , 85.75 ,71
2025-02-20 12:34:03 , -0.023 , -0.022 , -0.001 , 0.107  , 85.75 , 73.5 , 85.75 , 85.464 ,72
2025-02-20 12:34:03 , -0.023 , -0.023 , 0.0 , 0.107  , 85.75 , 73.5 , 85.75 , 85.75 ,73
2025-02-20 12:34:06 , -0.023 , -0.023 , 0.0 , 0.11  , 85.75 , 73.5 , 85.75 , 85.75 ,74
2025-02-20 12:34:07 , -0.022 , -0.023 , 0.001 , 0.111  , 85.75 , 73.5 , 85.75 , 86.036 ,75
2025-02-20 12:34:10 , -0.023 , -0.022 , -0.001 , 0.112  , 85.75 , 72.139 , 85.75 , 85.464 ,76
2025-02-20 12:34:10 , -0.023 , -0.023 , 0.0 , 0.113  , 85.478 , 72.139 , 85.478 , 85.478 ,77
2025-02-20 12:34:13 , -0.022 , -0.023 , 0.001 , 0.117  , 85.478 , 72.139 , 85.478 , 85.763 ,78
2025-02-20 12:34:14 , -0.022 , -0.022 , 0.0 , 0.117  , 85.478 , 72.139 , 85.478 , 85.478 ,79
2025-02-20 12:34:17 , -0.022 , -0.022 , 0.0 , 0.121  , 85.75 , 72.139 , 85.75 , 85.75 ,80
2025-02-20 12:34:17 , -0.022 , -0.022 , 0.0 , 0.121  , 85.75 , 72.139 , 85.75 , 85.75 ,81
2025-02-20 12:34:20 , -0.023 , -0.022 , -0.001 , 0.125  , 85.478 , 72.139 , 85.478 , 85.193 ,82
2025-02-20 12:34:21 , -0.022 , -0.023 , 0.001 , 0.127  , 85.478 , 72.139 , 85.478 , 85.763 ,83
